Chionomys nivalis
Chionomys roberti
Dicrostonyx exsul
Dicrostonyx groenlandicus
Dicrostonyx hudsonius
Dicrostonyx kilangmiutak
Dicrostonyx nelsoni
Dicrostonyx nunatakensis
Dicrostonyx richardsoni
Dicrostonyx rubricatus
Dicrostonyx torquatus
Dicrostonyx unalascensis
Dicrostonyx vinogradovi
Ellobius alaicus
Ellobius fuscocapillus
Ellobius lutescens
Ellobius talpinus
Ellobius tancrei
Prometheomys schaposchnikowi
Eolagurus luteus
Eolagurus przewalskii
Lagurus lagurus
Lasiopodomys brandtii
Lasiopodomys fuscus
Lasiopodomys mandarinus
Lemmiscus curtatus
Lemmus amurensis
Lemmus lemmus
Lemmus sibiricus
Myopus schisticolor
Synaptomys borealis
Synaptomys cooperi
Microtus agrestis
Microtus cabrerae
Microtus fortis
Microtus hyperboreus
Microtus evoronensis
Microtus maximowiczii
Microtus mujanensis
Microtus middendorffi
Microtus mongolicus
Microtus sachalinensis
Microtus chrotorrhinus
Microtus richardsoni
Microtus xanthognathus
Microtus guatemalensis
Microtus longicaudus
Microtus mexicanus
Microtus oaxacensis
Microtus arvalis
Microtus kermanensis
Microtus kirgisorum
Microtus obscurus
Microtus rossiaemeridionalis
Microtus transcaspicus
Microtus guentheri
Microtus irani
Microtus socialis
Microtus californicus
Microtus canicaudus
Microtus montanus
Microtus oregoni
Microtus breweri
Microtus pennsylvanicus
Microtus townsendii
Microtus juldaschi
Microtus leucurus
Microtus irene
Microtus sikimensis
Microtus umbrosus
Microtus limnophilus
Microtus montebelli
Microtus oeconomus
Microtus ochrogaster
Microtus pinetorum
Microtus quasiater
Microtus abbreviatus
Microtus gregalis
Microtus miurus
Microtus majori
Microtus multiplex
Microtus schelkovnikovi
Microtus duodecimcostatus
Microtus lusitanicus
Microtus thomasi
Microtus felteni
Microtus gerbei
Microtus savii
Microtus bavaricus
Microtus daghestanicus
Microtus nasarovi
Microtus subterraneus
Microtus tatricus
Neofiber alleni
Ondatra zibethicus
Proedromys bedfordi
Volemys clarkei
Volemys kikuchii
Volemys millicens
Volemys musseri
Ammodillus imbellis
Brachiones przewalskii
Meriones hurrianae
Meriones tamariscinus
Meriones arimalius
Meriones chengi
Meriones crassus
Meriones dahli
Meriones libycus
Meriones meridianus
Meriones sacramenti
Meriones shawi
Meriones tristrami
Meriones unguiculatus
Meriones vinogradovi
Meriones zarudnyi
Meriones persicus
Meriones rex
Sekeetamys calurus
Psammomys obesus
Psammomys vexillaris
Rhombomys opimus
Desmodilliscus braueri
Desmodillus auricularis
Gerbillurus paeba
Gerbillurus setzeri
Gerbillurus tytonis
Gerbillurus vallinus
Gerbillus acticola
Gerbillus agag
Gerbillus allenbyi
Gerbillus amoenus
Gerbillus andersoni
Gerbillus aquilus
Gerbillus bilensis
Gerbillus bonhotei
Gerbillus bottai
Gerbillus brockmani
Gerbillus burtoni
Gerbillus campestris
Gerbillus cheesmani
Gerbillus cosensi
Gerbillus dalloni
Gerbillus dasyurus
Gerbillus diminutus
Gerbillus dongolanus
Gerbillus dunni
Gerbillus famulus
Gerbillus floweri
Gerbillus garamantis
Gerbillus gerbillus
Gerbillus gleadowi
Gerbillus grobbeni
Gerbillus harwoodi
Gerbillus henleyi
Gerbillus hesperinus
Gerbillus hoogstraali
Gerbillus jamesi
Gerbillus juliani
Gerbillus latastei
Gerbillus lowei
Gerbillus mackillingini
Gerbillus maghrebi
Gerbillus mauritaniae
Gerbillus mesopotamiae
Gerbillus muriculus
Gerbillus nancillus
Gerbillus nanus
Gerbillus nigeriae
Gerbillus occiduus
Gerbillus percivali
Gerbillus perpallidus
Gerbillus poecilops
Gerbillus principulus
Gerbillus pulvinatus
Gerbillus pusillus
Gerbillus pyramidum
Gerbillus quadrimaculatus
Gerbillus riggenbachi
Gerbillus rosalinda
Gerbillus ruberrimus
Gerbillus simoni
Gerbillus somalicus
Gerbillus stigmonyx
Gerbillus syrticus
Gerbillus tarabuli
Gerbillus vivax
Gerbillus watersi
Microdillus peeli
Pachyuromys duprasi
Tatera boehmi
Tatera indica
Tatera afra
Tatera brantsii
Tatera guineae
Tatera inclusa
Tatera kempi
Tatera leucogaster
Tatera nigricauda
Tatera phillipsi
Tatera robusta
Tatera valida
Taterillus arenarius
Taterillus congicus
Taterillus emini
Taterillus gracilis
Taterillus harringtoni
Taterillus lacustris
Taterillus petteri
Taterillus pygargus
Beamys hindei
Beamys major
Cricetomys emini
Cricetomys gambianus
Saccostomus campestris
Saccostomus mearnsi
Brachytarsomys albicauda
Eliurus majori
Eliurus minor
Eliurus myoxinus
Eliurus penicillatus
Eliurus tanala
Eliurus webbi
Gymnuromys roberti
Brachyuromys betsileoensis
Brachyuromys ramirohitra
Nesomys rufus
Hypogeomys antimena
Macrotarsomys bastardi
Macrotarsomys ingens
Calomyscus bailwardi
Calomyscus baluchi
Calomyscus hotsoni
Calomyscus mystax
Calomyscus tsolovi
Calomyscus urartensis
Cannomys badius
Rhizomys pruinosus
Rhizomys sinensis
Rhizomys sumatrensis
Tachyoryctes ankoliae
Tachyoryctes annectens
Tachyoryctes audax
Tachyoryctes daemon
Tachyoryctes macrocephalus
Tachyoryctes naivashae
Tachyoryctes rex
Tachyoryctes ruandae
Tachyoryctes ruddi
Tachyoryctes spalacinus
Tachyoryctes splendens
Delanymys brooksi
Petromyscus barbouri
Petromyscus collinus
Petromyscus monticularis
Petromyscus shortridgei
Dendromus insignis
Dendromus kahuziensis
Dendromus kivu
Dendromus lovati
Dendromus melanotis
Dendromus mesomelas
Dendromus messorius
Dendromus mystacalis
Dendromus nyikae
Dendromus oreas
Dendromus vernayi
Dendroprionomys rousseloti
Deomys ferrugineus
